0 1 1 1 1	137 137 137 137 137
1 1 2 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 2 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
2 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 3 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 4 5 6 7	137 137 137 137 137
1 8 1 1 1	137 137 137 137 137
1 9 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
10 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 11 12 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 13 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 14 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 15 15	137 137 137 137 51
16 1 17 15 1	106 106 152 22 22
18 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 9 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 3 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 2 1 2	22 22 22 22 22
19 20 21 2 2	22 22 22 22 22
1 1 1 1 2	22 22 22 22 22
2 2 2 2 2	22 22 22 22 22
1 2 2 22 2	22 22 22 22 22
5 23 24 25 5	22 22 22 22 22
26 27 28 1 1	22 22 22 22 22
1 1 1 1 22	22 22 22 22 22
1 1 1 1 22	22 22 22 22 22
2 2 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 2 2	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
29 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 9 1	22 22 22 22 22
1 1 1 9 1	22 22 22 22 22
1 1 1 9 1	22 22 22 22 22
1 2 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 3 1	22 22 22 22 22
29 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 1 1	22 22 22 22 22
1 1 1 29 30	22 22 22 22 137
31 32 33 34 35	29 29 113 113 123
36 37 38 39 40	134 134 134 134 134
41 42 43 44 45	134 134 134 134 134
46 47 48 37 1	134 134 37 60 60
1 49 50 30 30	60 60 60 60 60
51 52 53 54 55	60 60 60 60 60
56 57 37 58 59	60 60 60 54 42
60 61 62 63 64	42 114 20 20 20
65 62 1 63 63	20 20 20 20 20
63 1 1 63 1	20 20 20 20 20
1 63 63 63 1	20 20 20 20 20
63 63 1 63 1	20 20 20 20 20
63 63 63 63 63	20 20 20 20 20
1 63 1 63 63	20 20 20 20 20
1 63 1 63 1	20 20 20 20 20
63 63 1 63 62	20 20 20 20 20
66 67 68 69 68	44 60 60 54 137
70 65 62 62 63	137 114 20 20 20
63 1 1 1 1	20 20 20 20 20
71 70 72 63 63	20 20 20 20 20
73 62 63 63 63	20 20 20 20 20
63 63 63 63 63	20 20 20 20 20
1 1 1 1 1	20 20 20 20 20
63 63 74 75 76	20 20 114 137 137
77 77 78 78 79	137 137 137 137 137
80 81 80 68 80	137 137 137 137 54
82 81 1 1 1	60 60 60 60 60
1 83 84 84 68	60 60 60 60 60
85 86 87 88 1	143 68 32 137 137
88 78 89 90 1	137 137 137 137 137
1 1 91 92 93	137 137 137 39 81
94 1 95 94 94	81 81 81 81 81
94 94 96 96 97	81 81 81 81 81
94 94 22 1 1	81 39 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 1 1	137 137 137 137 137
1 1 1 22 1	137 137 137 137 137
18 22 2 2 2	137 137 137 137 137
2 2 2 2 2	137 137 137 137 137
2 1 1 1 1	137 137 137 137 137
1 1 2 2 29	137 137 137 137 137
22 51 98 10 1	137 137 137 137 137
99 1 54 54 100	137 137 137 137 137
101 102 1 1 1	137 137 137 137 137
103 93 104 105 106	137 137 137 137 137
107 108 109 110 111	137 137 137 137 137
1 112 1 1 1	137 42 77 77 77
1 1 1 1 1	77 77 77 77 77
3 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 1 1 1	77 77 77 77 77
1 1 113 114 115	77 77 126 134 134
116 117 118 119 120	134 134 134 16 134
121 122 1 117 123	134 134 134 134 134
124 117 56 56 56	134 134 134 134 134
125 56 117 117 117	134 134 134 134 134
124 1 56 56 56	134 134 134 134 134
124 56 56 117 117	134 134 134 134 134
125 117 117 56 1	134 134 134 134 134
56 56 56 56 117	134 134 134 134 134
56 126 1 56 56	134 134 134 134 134
56 126 56 56 117	134 134 134 134 134
117 127 96 95 96	134 134 134 134 134
128 129 70 130 131	134 134 134 134 134
132 70 133 131 131	134 134 134 134 134
131 134 99 53 53	134 62 148 148 148
