1 1 1 1 353,78 78 78 78 78
1 1 1 9 1,74 74 74 74 74
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,78 78 78 78 78
63 63 63 63 63,78 78 78 78 78
258 200 1899 3253 3254,78 78 6 78 78
3808 1544 257 359 837,55 78 78 78 78
1 1 1 1 1,78 78 78 78 78
1 1 1 9 1,74 74 74 74 74
1 1 1 1 1,74 74 74 74 74
3704 87 152 3705 152,36 36 36 36 36
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,151 151 151 151 151
1 1 1 1 1,78 78 78 78 78
29 1 1 1 1,147 147 147 147 147
1 1 1 1 1,74 74 74 74 74
1 1 1 1 353,74 74 74 74 74
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,78 78 78 78 78
36 37 38 39 40,36 36 36 36 36
86 443 168 4302 4303,86 86 150 150 36
1 1 1 3 1,78 78 78 78 78
1 1 1 1 1,78 78 78 78 78
1 1 353 1 1,119 119 119 119 119
16 95 175 29 1,49 49 91 74 74
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,74 74 74 74 74
214 214 214 214 77,36 36 36 36 36
63 1 1 63 63,119 119 119 119 119
1 1 1 1 1,78 78 78 78 78
4652 4653 4654 342 1648,107 107 160 7 7
1 1 1 1 1,74 74 74 74 74
1 1 1 1 3,74 74 74 74 74
353 1 1 86 1799,20 20 20 20 59
1 346 1224 227 95,147 147 147 147 147
1 1 1 1 1,78 78 78 78 78
63 1 2054 86 2055,78 78 146 20 76
1 1 3 1 1,78 78 78 78 78
1 1 1 1 2,74 74 74 74 74
1 1 1 1 1,74 74 74 74 74
1 1 1 353 1,78 78 78 78 78
93 93 16 222 16,127 127 155 74 155
1 9 1 1 1,74 74 74 74 74
1 1 139 1 63,119 119 119 119 119
1 1 1 1 1,78 78 78 78 78
1 1 63 63 63,78 78 78 78 78
528 139 1 1 1,74 74 74 74 74
1 1 1 1 1,78 78 78 78 78
1015 1016 1017 256 252,78 78 78 78 78
1 63 1 1 63,119 119 119 119 119
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,78 78 78 78 78
1 1 1 3 1,74 74 74 74 74
1 1 1 3 1,78 78 78 78 78
1 1 1 1 1,107 107 107 107 107
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,78 78 78 78 78
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,74 74 74 74 74
790 184 184 1 1,64 64 64 64 64
1 1 1 1 1,78 78 78 78 78
1 1 1 1 683,74 74 74 74 74
1 1 3 1 1,78 78 78 78 78
1 1 1 1 1,78 78 78 78 78
1 1 1 1 1,78 78 78 78 78
2245 2246 1873 2247 2248,36 36 36 36 36
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,78 78 78 78 78
1 1 9 1 803,119 119 119 119 126
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,78 78 78 78 78
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,78 78 78 78 78
1627 2726 2727 747 257,6 6 78 78 78
1528 239 65 237 63,98 119 119 119 119
1 1 1 1 1,78 78 78 78 78
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,78 78 78 78 78
1 1 1 1 1,78 78 78 78 78
9 1 1 1 1,78 78 78 78 78
1 1 1 1 1,78 78 78 78 78
1 1 1 1 1,74 74 74 74 74
94 16 1 222 2343,49 99 78 78 78
1 1 1 1 1,74 74 74 74 74
1 63 1967 1042 1968,119 119 23 76 36
1 1 1 1 1,78 78 78 78 78
1 1 1 3 1,78 78 78 78 78
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,78 78 78 78 78
1 63 1 3 1,119 119 119 119 119
1 1 353 1 1,74 74 74 74 74
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,78 78 78 78 78
1 1 1 1 1,78 78 78 78 78
1 1 1 1 1,78 78 78 78 78
1 1 1 1 1,78 78 78 78 78
63 64 63 1 1,119 119 119 119 119
1 1 1 1 1,78 78 78 78 78
4353 489 489 489 489,62 96 96 96 96
1 353 1 1 1,78 78 78 78 78
3 1 1 1 1,74 74 74 74 74
1 1 1 1 1,74 74 74 74 74
53 1 53 1 53,107 107 107 107 107
452 365 131 1968 241,36 36 36 36 36
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,74 74 74 74 74
1 1 3 1 1,78 78 78 78 78
1 1 1 1 1,74 74 74 74 74
1 1 1 1 53,107 107 107 107 107
4222 1210 1802 63 63,98 119 119 119 119
2681 271 131 68 70,26 36 36 36 26
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,78 78 78 78 78
692 68 80 133 77,36 36 113 113 36
175 175 1 1 1,74 74 74 74 74
1 1 1 1 1,78 78 78 78 78
415 3334 1727 2262 3335,116 76 36 36 36
1 1 1 1 1,78 78 78 78 78
1 1 1 1 1,78 78 78 78 78
3394 3395 3396 290 294,36 36 36 36 36
1 1 1 1 1,74 74 74 74 74
86 515 120 368 3858,20 20 76 26 99
1 1 1 9 1,74 74 74 74 74
1 1 9 1 1,78 78 78 78 78
1 1 1 1 1,74 74 74 74 74
63 353 200 187 188,119 119 119 119 119
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,78 78 78 78 78
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,78 78 78 78 78
1 1 1 353 1,78 78 78 78 78
353 1 63 63 63,119 119 119 119 119
1 1 1 1 1,78 78 78 78 78
1 1 1 1 1,74 74 74 74 74
1 1 1 1 1,78 78 78 78 78
9 1 1 1 1,74 74 74 74 74
1 1 1 1 1,74 74 74 74 74
1 1 3 1 1,74 74 74 74 74
1 1 1 1 1,74 74 74 74 74
810 3105 2628 3106 3107,102 36 26 78 78
2068 747 1578 53 1,107 107 107 107 107
1 1 1 1 1,78 78 78 78 78
1 1 1 1 1,78 78 78 78 78
1 1 1 933 601,74 74 74 74 74
1 1 1 1 1,74 74 74 74 74
